latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
22.54151,120.35259,333.4,0.45,0.39,2014-01-01,0458,N,VIIRS,n,1,300.6,5.6,2
22.82762,120.32517,327.5,0.45,0.39,2014-01-01,0458,N,VIIRS,l,1,297.6,1.9,0
22.83022,120.32581,332.5,0.45,0.39,2014-01-01,0458,N,VIIRS,n,1,299.4,3.2,0
23.44066,120.22611,333,0.45,0.39,2014-01-01,0458,N,VIIRS,n,1,300.7,3.7,0
23.55519,120.36488,325.9,0.44,0.38,2014-01-01,0458,N,VIIRS,n,1,299.5,1.8,0
23.91443,120.47593,330.1,0.43,0.38,2014-01-01,0459,N,VIIRS,n,1,297.4,1.3,0
24.04622,120.63226,333.8,0.43,0.38,2014-01-01,0459,N,VIIRS,n,1,299.9,2.7,0
24.04578,120.41569,328,0.43,0.38,2014-01-01,0459,N,VIIRS,n,1,296.1,1.9,0
24.22504,120.48997,330.9,0.43,0.38,2014-01-01,0459,N,VIIRS,n,1,298.8,1.4,2
24.47111,120.67171,315.1,0.47,0.4,2014-01-01,1726,N,VIIRS,n,1,282.9,2.5,2
24.22468,120.48811,300.5,0.47,0.4,2014-01-01,1726,N,VIIRS,n,1,286.4,1.2,2
24.22405,120.49279,302,0.47,0.4,2014-01-01,1726,N,VIIRS,n,1,288.1,1.2,2
22.76394,120.38931,297.2,0.46,0.39,2014-01-01,1726,N,VIIRS,n,1,285.2,0.4,0
22.69866,120.3203,299.1,0.47,0.39,2014-01-01,1727,N,VIIRS,n,1,288.2,0.7,2
22.54646,120.34924,310.8,0.46,0.39,2014-01-01,1727,N,VIIRS,n,1,290.7,1.5,2
22.54585,120.35375,303.2,0.46,0.39,2014-01-01,1727,N,VIIRS,n,1,291.6,1.5,2
23.98871,120.42731,336.6,0.51,0.49,2014-01-02,0440,N,VIIRS,n,1,295.9,4.1,0
23.98923,120.42924,326,0.51,0.49,2014-01-02,0440,N,VIIRS,l,1,296,5.3,0
24.17676,120.5108,331.7,0.5,0.49,2014-01-02,0440,N,VIIRS,n,1,292.9,2,3
24.22635,120.49559,325.2,0.5,0.49,2014-01-02,0440,N,VIIRS,n,1,296.7,1.6,2
24.47329,120.67376,301.2,0.5,0.66,2014-01-03,1829,N,VIIRS,n,1,286,0.7,2
24.04023,120.56805,297.5,0.52,0.5,2014-01-04,1810,N,VIIRS,n,1,283.2,0.6,0
22.70611,120.63725,307.3,0.55,0.51,2014-01-04,1810,N,VIIRS,n,1,285,1.2,0
22.54252,120.35203,302.9,0.53,0.5,2014-01-04,1810,N,VIIRS,n,1,289.9,2.6,3
22.53687,120.35606,300.7,0.54,0.5,2014-01-04,1810,N,VIIRS,n,1,290,2,2
23.62164,120.44801,328.1,0.47,0.4,2014-01-05,0524,N,VIIRS,n,1,298.5,2.2,0
23.67606,120.40848,332,0.47,0.39,2014-01-05,0524,N,VIIRS,n,1,300,1.9,0
23.7372,120.31078,341,0.46,0.39,2014-01-05,0524,N,VIIRS,n,1,300,4.3,0
23.73766,120.31187,333.4,0.46,0.39,2014-01-05,0524,N,VIIRS,n,1,299.7,7.4,0
24.23153,120.57997,332.3,0.48,0.4,2014-01-05,0524,N,VIIRS,n,1,297.7,6.9,0
24.56785,120.73718,304.8,0.44,0.38,2014-01-05,1751,N,VIIRS,n,1,285.6,0.9,2
24.22276,120.49115,300.6,0.43,0.38,2014-01-05,1751,N,VIIRS,n,1,287.8,2.1,2
24.03917,120.56805,301.4,0.44,0.38,2014-01-05,1751,N,VIIRS,n,1,283.3,0.9,0
24.03893,120.56537,299.3,0.44,0.38,2014-01-05,1751,N,VIIRS,n,1,283.4,0.7,0
23.82928,120.35437,296.8,0.43,0.38,2014-01-05,1751,N,VIIRS,n,1,282.9,0.4,3
22.54898,120.35355,305.5,0.44,0.39,2014-01-05,1752,N,VIIRS,n,1,290,1,2
22.5496,120.35107,299.4,0.44,0.39,2014-01-05,1752,N,VIIRS,n,1,288,0.4,2
22.54608,120.35035,302,0.44,0.39,2014-01-05,1752,N,VIIRS,n,1,290.2,1,2
22.54534,120.35461,303.3,0.44,0.39,2014-01-05,1752,N,VIIRS,n,1,291.2,1.7,2
22.54257,120.34962,306.3,0.44,0.39,2014-01-05,1752,N,VIIRS,n,1,291.1,1,2
22.53959,120.36671,305.5,0.44,0.39,2014-01-05,1752,N,VIIRS,n,1,289.4,1.3,2
22.41699,120.5619,328.3,0.4,0.37,2014-01-06,0504,N,VIIRS,n,1,296.4,1.7,0
