latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
24.20823,120.52195,338.2,0.41,0.45,2019-09-02,0442,N,VIIRS,n,1.0NRT,297.1,2.6,D
24.72683,120.99065,296.1,0.44,0.62,2019-09-03,1648,N,VIIRS,n,1.0NRT,279,1.4,N
24.22204,120.49044,303.7,0.5,0.41,2019-09-05,1754,N,VIIRS,n,1.0NRT,277.5,2.5,N
24.22217,120.48752,316.6,0.39,0.36,2019-09-06,1736,N,VIIRS,n,1.0NRT,292.5,2.4,N
24.22159,120.4913,307.8,0.39,0.36,2019-09-06,1736,N,VIIRS,n,1.0NRT,292.6,1.9,N
23.93494,120.45989,300.7,0.39,0.36,2019-09-06,1736,N,VIIRS,n,1.0NRT,279,0.7,N
22.53727,120.36106,307,0.56,0.43,2019-09-07,1718,N,VIIRS,n,1.0NRT,292,4.8,N
22.54547,120.35116,306.8,0.43,0.46,2019-09-10,1800,N,VIIRS,n,1.0NRT,291.8,1.5,N
22.54467,120.35527,310.1,0.43,0.46,2019-09-10,1800,N,VIIRS,n,1.0NRT,292.1,2.1,N
22.54131,120.35021,310,0.43,0.46,2019-09-10,1800,N,VIIRS,n,1.0NRT,292.1,1.7,N
22.53971,120.35844,316.7,0.43,0.46,2019-09-10,1800,N,VIIRS,n,1.0NRT,292.3,1.6,N
22.53635,120.35339,308.3,0.43,0.46,2019-09-10,1800,N,VIIRS,n,1.0NRT,291.6,1.6,N
22.53555,120.3575,316.5,0.43,0.46,2019-09-10,1800,N,VIIRS,n,1.0NRT,291.5,1.6,N
22.54421,120.35607,345.7,0.4,0.37,2019-09-11,0512,N,VIIRS,n,1.0NRT,304.4,12.1,D
22.54758,120.35551,337,0.4,0.37,2019-09-11,0512,N,VIIRS,n,1.0NRT,306.3,3.3,D
24.72824,120.98775,314.2,0.4,0.37,2019-09-11,1742,N,VIIRS,n,1.0NRT,294.2,2,N
24.2242,120.49048,325.4,0.39,0.36,2019-09-11,1742,N,VIIRS,n,1.0NRT,297.5,2.5,N
23.77403,120.18958,311.3,0.39,0.36,2019-09-11,1742,N,VIIRS,n,1.0NRT,296.6,1.9,N
22.54593,120.35046,309.5,0.4,0.37,2019-09-11,1742,N,VIIRS,n,1.0NRT,295.7,2.7,N
24.02983,120.39917,330.2,0.52,0.5,2019-09-13,0436,N,VIIRS,n,1.0NRT,296.7,5.1,D
23.54849,120.20937,341.6,0.56,0.69,2019-09-14,0554,N,VIIRS,n,1.0NRT,292.7,3.8,D
22.54575,120.35622,324.4,0.44,0.38,2019-09-16,1748,N,VIIRS,n,1.0NRT,292.9,3,N
22.5465,120.35196,315,0.44,0.38,2019-09-16,1748,N,VIIRS,n,1.0NRT,292,3,N
22.54224,120.3555,333.7,0.44,0.38,2019-09-16,1748,N,VIIRS,n,1.0NRT,292.2,3,N
